# Phi	Z	lower	upper	k	lower	upper	var_S	like/unlike	lower	upper
2.396396396396396206e-02	1.187159809904376306e+00	1.187155775019985038e+00	1.187163839623184280e+00	3.259972561280785186e+01	3.259930429190953305e+01	3.260015437040561181e+01	5.380776968646784681e-09	9.637800710708438467e-01	9.637495691245147045e-01	9.638110375964384913e-01
2.459459459459459318e-02	1.188456234013194557e+00	1.188452334245888142e+00	1.188460126341196688e+00	3.207576635487051675e+01	3.207536380445917246e+01	3.207617438161186385e+01	5.408732206211130964e-09	9.649199269115573685e-01	9.648902054899745062e-01	9.649497526574395412e-01
2.522522522522522431e-02	1.189752658151775666e+00	1.189748875479168078e+00	1.189756428753203865e+00	3.155180710897759155e+01	3.155142140800786521e+01	3.155219574875687272e+01	5.445585705464369069e-09	9.660597827337668031e-01	9.660309412307391819e-01	9.660885908422989221e-01
2.585585585585585544e-02	1.191049082320124963e+00	1.191045409740666194e+00	1.191052734231781152e+00	3.102784787512865350e+01	3.102748098115242925e+01	3.102821742235471447e+01	5.491337581226070840e-09	9.671996385374556082e-01	9.671713844533725846e-01	9.672278191892306198e-01
2.648648648648648310e-02	1.192345506518239784e+00	1.192341952514940129e+00	1.192349018340800759e+00	3.050388865332374166e+01	3.050354139142783438e+01	3.050423921336510702e+01	5.545987948015762417e-09	9.683394943226137919e-01	9.683119644441808838e-01	9.683668559490100636e-01
2.711711711711711423e-02	1.193641930746130564e+00	1.193638503821329522e+00	1.193645354316689167e+00	2.997992944356256118e+01	2.997960133254439796e+01	2.998026302467061655e+01	5.609536920820911801e-09	9.694793500892207039e-01	9.694528327638807230e-01	9.695061220513769840e-01
2.774774774774774536e-02	1.194938355003795527e+00	1.194935027388000615e+00	1.194941679556162040e+00	2.945597024584485979e+01	2.945565876876994693e+01	2.945628608536857485e+01	5.681984614667440141e-09	9.706192058372624665e-01	9.705933694613613216e-01	9.706451227863511777e-01
2.837837837837837648e-02	1.196234779291241113e+00	1.196231551280646954e+00	1.196237978096561294e+00	2.893201106017043500e+01	2.893171699795225038e+01	2.893230953957482754e+01	5.763331144786573985e-09	9.717590615667244247e-01	9.717339611602923144e-01	9.717842411406245606e-01
2.900900900900900761e-02	1.197531203608465100e+00	1.197528056653649475e+00	1.197534300666437623e+00	2.840805188653915891e+01	2.840777430498295075e+01	2.840833253268373326e+01	5.853576626716934258e-09	9.728989172775910355e-01	9.728745055273944065e-01	9.729234757171871806e-01
2.963963963963963874e-02	1.198827627955473929e+00	1.198824582651031978e+00	1.198830624165038161e+00	2.788409272495085034e+01	2.788383323288791615e+01	2.788435471223728612e+01	5.952721175984835093e-09	9.740387729698475328e-01	9.740149197397439673e-01	9.740627935484990063e-01
